Title,Link,Abstract
HVAC CONTROLLER WITH USER-FRIENDLY INSTALLATION FEATURES FACILITATING BOTH DO-IT-YOURSELF AND PROFESSIONAL INSTALLATION SCENARIOS,https://patents.justia.com/patent/20150219357,"Abstract:  A thermostat may include a processing system, a plurality of HVAC connectors configured to receive a corresponding plurality of HVAC control wires, and a connection sensing circuit coupled to the plurality of HVAC connectors and configured to provide an indication to the processing system of whether a wire is inserted for each of the plurality of HVAC connectors. The processing system may be configured to receive an indication from the connection sensing circuit when an HVAC connector in the plurality of HVAC connectors has a wire inserted therein, the HVAC connector being associated with a plurality of possible HVAC functions. The processing system may also be configured to display the plurality of possible HVAC functions on a user interface, to receive input selecting one of the possible HVAC functions for the HVAC connector, and to operate the selected HVAC function through the HVAC connector."
HVAC controller having a network-based scheduling feature,https://patents.justia.com/patent/9657957,"Abstract:  A master HVAC schedule for an HVAC controller may be stored on an external server accessible over a computer network. The external server may maintain the master HVAC schedule, and may translate a portion of the master HVAC schedule into a basic HVAC schedule that is executable by an HVAC controller. The external server may deliver the basic HVAC schedule to an HVAC controller according to a predetermined schedule. In some cases, the external server may deliver an updated basic HVAC schedule to the HVAC controller in response to a user initiated change made to the master HVAC schedule or upon restoration of a lost network connection between the HVAC controller and the external server."
HVAC controller with user-friendly installation features facilitating both do-it-yourself and professional installation scenarios,https://patents.justia.com/patent/9541300,"Abstract:  A thermostat may include a processing system, a plurality of HVAC connectors configured to receive a corresponding plurality of HVAC control wires, and a connection sensing circuit coupled to the plurality of HVAC connectors and configured to provide an indication to the processing system of whether a wire is inserted for each of the plurality of HVAC connectors. The processing system may be configured to receive an indication from the connection sensing circuit when an HVAC connector in the plurality of HVAC connectors has a wire inserted therein, the HVAC connector being associated with a plurality of possible HVAC functions. The processing system may also be configured to display the plurality of possible HVAC functions on a user interface, to receive input selecting one of the possible HVAC functions for the HVAC connector, and to operate the selected HVAC function through the HVAC connector."
"CONTROLLING A HEATING, VENTILATION AND AIR CONDITIONING (HVAC) SYSTEM WITH NETWORKED HVAC ZONE SENSORS",https://patents.justia.com/patent/20190242605,"Abstract:  Disclosed is an HVAC system with networked HVAC zone sensors, and HVAC zone controllers communicating with portable smart devices over personal area networks, wherein the portable smart devices are registered with an HVAC controller and assigned to device groups, each of the HVAC zone controllers is paired with each of the portable smart devices, each of the HVAC zone controllers scans to determine whether, and how many of, the portable smart devices are within communication range, the HVAC controller communicates with each of the HVAC zone controllers to determine the results of the scans, and the HVAC controller controls the HVAC system based on the results accounting for how many of the portable smart devices detected by the HVAC zone controllers are subsumed under one or more of the device groups."
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,"Abstract:  Apparatuses, systems, and methods for de-energizing an indoor HVAC unit are provided herein. The system comprises an outdoor HVAC unit, an indoor HVAC unit, signal cables coupled between the outdoor HVAC unit and the indoor HVAC unit, and an air-gap switch connected to the indoor HVAC unit. The signal cables are configured to electrically power the indoor HVAC unit from the outdoor HVAC unit. The air-gap switch is connected to the indoor HVAC unit and is configured to selectively sever a connection between the signal cables and the indoor HVAC unit. The air-gap switch provides an electrical safety measure for servicing and maintaining the indoor HVAC unit."
HVAC system and zone control unit,https://patents.justia.com/patent/9459015,"Abstract:  Methods for installing one or more heating, ventilation, and air conditioning (HVAC) units in an HVAC system include the steps of securing inlet and outlet piping assemblies of the HVAC unit to a bracket, coupling a thermal transfer mechanism of the HVAC unit with the inlet piping assembly and the outlet piping assembly, fluidly coupling a water pump with the thermal transfer mechanism, the inlet piping assembly, or the outlet piping assembly, mounting the HVAC unit by mounting the bracket to the HVAC system, and maintaining alignment of the HVAC unit thermal transfer mechanism, the HVAC unit inlet piping assembly, and the HVAC unit outlet piping assembly while mounting the HVAC unit in the HVAC system. An HVAC unit can include a thermal transfer mechanism, inlet and outlet piping assemblies, a water pump, and a bracket."
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,"Abstract:  A heating, ventilation, and air conditioning (HVAC) case for an HVAC assembly. The HVAC case includes a fastener for coupling a first portion of the HVAC case to a second portion of the HVAC case. A clip of the fastener is included with the first portion of the HVAC case. A retention member of the fastener is included with the second portion of the HVAC case. Cooperation between the clip and the retention member couples the first portion of the HVAC case and the second portion of the HVAC case together."
REMOTE CONTROL FOR USE IN ZONED AND NON-ZONED HVAC SYSTEMS,https://patents.justia.com/patent/20090140058,"Abstract:  An HVAC remote controller for use in an HVAC system is described. In some instances, the HVAC remote controller may include a wirelessly interface for communicating with one or more HVAC controllers and/or other HVAC devices. The HVAC remote controller may be configured to automatically determine whether the HVAC system is a zoned HVAC system or a non-zoned HVAC system, and operate accordingly."
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"Abstract:  The present disclosure provides a method for operating an HVAC system for conditioning inside air of a building. The HVAC system includes an HVAC unit and a local HVAC controller. In some instances, control of an HVAC system may be modified based upon predictions of Critical Peak Pricing (CPP) events. For example, and in an illustrative but non-limiting example, a local HVAC controller may control an HVAC unit in accordance with at least one nominal HVAC control parameter, such as a nominal setpoint. At least one measure related to an environmental condition in or around the building and/or load on the HVAC unit may be observed, and a CPP event of a utility supplying power to the building may be predicted based at least in part on the observed measure(s)."
Remote control for use in zoned and non-zoned HVAC systems,https://patents.justia.com/patent/8387892,"Abstract:  An HVAC remote controller for use in an HVAC system is described. In some instances, the HVAC remote controller may include a wireless interface for communicating with one or more HVAC controllers and/or other HVAC devices. The HVAC remote controller may be configured to automatically determine whether the HVAC system is a zoned HVAC system or a non-zoned HVAC system, and operate accordingly."
System and method of HVAC health monitoring for connected homes,https://patents.justia.com/patent/10935271,"Abstract:  According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided. The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; obtaining weather data for a geographical area where the HVAC unit is located; and determining an HVAC capacity available ratio (CAR) in response to the weather data, the HVAC unit characteristics, and the HVAC data."
HVAC control with utility time of day pricing support,https://patents.justia.com/patent/8326466,"Abstract:  The present disclosure provides a method for operating an HVAC system for conditioning inside air of a building. The HVAC system includes an HVAC unit and a local HVAC controller. In some instances, control of an HVAC system may be modified based upon predictions of Critical Peak Pricing (CPP) events. For example, and in an illustrative but non-limiting example, a local HVAC controller may control an HVAC unit in accordance with at least one nominal HVAC control parameter, such as a nominal setpoint. At least one measure related to an environmental condition in or around the building and/or load on the HVAC unit may be observed, and a CPP event of a utility supplying power to the building may be predicted based at least in part on the observed measure(s)."
DATA-DRIVEN HVAC OPTIMIZATION,https://patents.justia.com/patent/20150378373,Abstract:  A system and method for data-driven HVAC optimization for outputting HVAC setpoints to a thermostat and determining a predicted HVAC usage of an HVAC unit based on the HVAC setpoints and an outdoor temperature. The system may further determine and output a predicted cost of the HVAC unit heating or cooling a structure based on the HVAC setpoints. The system may further select optimized HVAC setpoints such that the predicted cost is less than or equal to a user defined cost constraint and minimize deviation from user-preferred HVAC setpoints.
HVAC case fastener,https://patents.justia.com/patent/10513164,"Abstract:  A heating, ventilation, and air conditioning (HVAC) case for an HVAC assembly. The HVAC case includes a fastener for coupling a first portion of the HVAC case to a second portion of the HVAC case. A clip of the fastener is included with the first portion of the HVAC case. A retention member of the fastener is included with the second portion of the HVAC case. Cooperation between the clip and the retention member couples the first portion of the HVAC case and the second portion of the HVAC case together."
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,"Abstract:  For monitoring an HVAC system (1), HVAC data reporting messages are received and stored in a cloud-based computer system (4). Each HVAC data reporting message includes one or more operation data values included by an HVAC controller (22) of the HVAC system (1). The cloud-based computer system (4) generates (S73) remote diagnoses for a particular HVAC device, using a plurality of HVAC reporting messages received from a plurality of the HVAC controllers (22) from one or more HVAC systems (1). Each remote diagnosis is generated (S73) by using more than one operational data value, included in HVAC reporting messages received (S71) received from HVAC controllers (22) of more than one HVAC systems (1) and/or from at least two different types of operational data values. A diagnosis message which includes a remote diagnosis is transmitted to a diagnosis processing system for the particular HVAC device."
System and Method For Charging HVAC System,https://patents.justia.com/patent/20110219790,"Abstract:  A method of charging an HVAC system by determining a relationship between a liquid line temperature of the HVAC system, a suction line pressure of the HVAC system, and an ambient outdoor temperature of the HVAC system. A method of charging an HVAC system by adjusting a mass of refrigerant in the HVAC system to approach a target minimum liquid line temperature. A method of charging an HVAC system by testing the HVAC system according to at least three sets of test parameters, two of the three sets of test parameters comprising testing the HVAC system at substantially a same outdoor ambient temperature and at least one of the remaining set of test parameters comprising testing the HVAC system at a different outdoor ambient temperature."
METHOD AND COMPUTER SYSTEM FOR MONITORING AN HVAC SYSTEM,https://patents.justia.com/patent/20190212022,"Abstract:  For monitoring an HVAC system (1), HVAC data reporting messages are received and stored in a cloud-based computer system (4). Each HVAC data reporting message includes one or more operation data values included by an HVAC controller (22) of the HVAC system (1). The cloud-based computer system (4) generates (S73) remote diagnoses for a particular HVAC device, using a plurality of HVAC reporting messages received from a plurality of the HVAC controllers (22) from one or more HVAC systems (1). Each remote diagnosis is generated (S73) by using more than one operational data value, included in HVAC reporting messages received (S71) received from HVAC controllers (22) of more than one HVAC systems (1) and/or from at least two different types of operational data values. A diagnosis message which includes a remote diagnosis is transmitted to a diagnosis processing system for the particular HVAC device."
NFC ENABLED HVAC FIELD DEVICE AND AN HVAC SYSTEM,https://patents.justia.com/patent/20240102689,"Abstract:  The invention relates to an HVAC field device comprising a plurality of HVAC device blocks. The HVAC field device comprises: a) a base HVAC device block comprising: a base housing; an electric motor configured to drive an actuated part, and/or a sensor for the measurement of operational parameters of an HVAC system; a base control module connected to the electric motor, and/or the sensors; a base near field communication (NFC) circuit connected to the base control module; and b) a first add-on HVAC device block comprising: an add-on housing and a first add-on NFC antenna, wherein the base HVAC device block and the first add-on HVAC device block are mechanically connected, and wherein the first NFC antenna is electrically connected to the base HVAC device block."
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,"Abstract:  The invention involves the automated testing of HVAC units using an energy management system. The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations. If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed. The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested. The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics. These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly). A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform."
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,"Abstract:  The invention involves the automated testing of HVAC units using an energy management system. The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations. If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed. The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested. The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics. These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly). A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform."
METHOD AND APPARATUS FOR CONTROLLING AN HVAC SYSTEM,https://patents.justia.com/patent/20160363336,"Abstract:  A method and controller for Heating Ventilation or Air-Conditioning (HVAC), the controller having a processing unit and a storage device, the controller comprising: a mapping obtaining module for obtaining a mapping between a pair of a state of an HVAC unit and an action of the HVAC unit and between a measurement; an action determination component for determining an action to be taken by the HVAC unit in accordance with a current state of the HVAC unit; a measurement determination component for obtaining from the mapping a synthesized measurement that when transmitted to the HVAC unit is adapted to cause the HVAC unit to perform the action; and an HVAC communication module for transmitting the synthesized measurement to the HVAC unit."
Controlling Transmission Intervals in an HVAC System Based on Operational Modes of the HVAC System,https://patents.justia.com/patent/20190376716,"Abstract:  An example HVAC system includes an HVAC component, and an HVAC controller configured to selectively control the HVAC component in a first operating mode and a second operating mode. The system also includes a sensor in communication with the HVAC controller. The sensor is configured to detect one or more parameters of the HVAC system and periodically transmit the one or more detected parameters to the HVAC controller. The sensor is also configured to transmit the one or more detected parameters according to a first transmission interval when the HVAC controller is operating in the first operating mode, and to transmit the one or more detected parameters according to a second transmission interval when the HVAC controller is operating in the second operating mode. The first transmission interval is different than the second transmission interval. Example methods of controlling an HVAC system are also disclosed."
HVAC CONTROLLER AND METHOD FOR OPERATING AN HVAC SYSTEM BASED ON A DIFFERENCE IN TEMPERATURE BETWEEN RETURN AIR AND SUPPLY AIR AND AN HVAC SYSTEM EMPLOYING THE CONTROLLER OR METHOD,https://patents.justia.com/patent/20150204567,"Abstract:  The disclosure provides an HVAC system, an HVAC controller and a method of operating an HVAC system. In one embodiment, the HVAC controller includes: (1) an interface configured to receive a thermostat call and (2) a processor configured to initiate operation of the HVAC system in response to the thermostat call and control operation thereof based on a temperature difference across a conditioning unit of the HVAC system."
"HVAC SYSTEM, A METHOD FOR DETERMINING A LOCATION OF AN HVAC UNIT WITH RESPECT TO A SITE AND AN HVAC CONTROLLER",https://patents.justia.com/patent/20100298986,"Abstract:  An HVAC controller, a method determining a location of a HVAC unit with respect to a site where the HVAC unit is installed and a HVAC system are disclosed herein. In one embodiment, the HVAC controller includes: (1) an interface configured to receive location data indicating a position of said HVAC unit with respect to the earth, (2) a memory coupled to said interface and configured to store said location data and a processor configured to retrieve said location data from said memory, wherein said retrieved location data is employed to determine a location of said HVAC unit with respect to a site where said HVAC unit is installed."
"HVAC system, a method for determining a location of an HVAC unit with respect to a site and an HVAC controller",https://patents.justia.com/patent/8483850,"Abstract:  An HVAC controller, a method determining a location of a HVAC unit with respect to a site where the HVAC unit is installed and a HVAC system are disclosed herein. In one embodiment, the HVAC controller includes: (1) an interface configured to receive location data indicating a position of said HVAC unit with respect to the earth, (2) a memory coupled to said interface and configured to store said location data and a processor configured to retrieve said location data from said memory, wherein said retrieved location data is employed to determine a location of said HVAC unit with respect to a site where said HVAC unit is installed."
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,"Abstract:  The invention involves the automated testing of HVAC units using an energy management system. The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations. If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed. The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested. The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics. These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly). A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform."
Data-driven HVAC optimization,https://patents.justia.com/patent/9429961,Abstract:  A system and method for data-driven HVAC optimization for outputting HVAC setpoints to a thermostat and determining a predicted HVAC usage of an HVAC unit based on the HVAC setpoints and an outdoor temperature. The system may further determine and output a predicted cost of the HVAC unit heating or cooling a structure based on the HVAC setpoints. The system may further select optimized HVAC setpoints such that the predicted cost is less than or equal to a user defined cost constraint and minimize deviation from user-preferred HVAC setpoints.
HVAC SYSTEM WITH MULTIPLE EQUIPMENT INTERFACE MODULES,https://patents.justia.com/patent/20140041846,"Abstract:  An HVAC system may include a building controller, two or more HVAC components and at least two Equipment Interface Modules (EIM). Each of the EIMs may include a wired and/or wireless interface for communication to the HVAC controller. Each EIM may be wired to one or more of the HVAC components of the HVAC system. In some cases, the HVAC controller may be configured to provide one or more control commands to control two or more of the HVAC components of the HVAC system via the EIMs. In some cases, the EIMs may provide control signals to the HVAC controller, and the HVAC controller may generate one or more commands in response to the received control signals."
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,"Abstract:  The invention involves the automated testing of HVAC units using an energy management system. The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations. If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed. The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested. The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics. These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly). A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform."
Systems and Methods for Estimating HVAC Operation Cost,https://patents.justia.com/patent/20130179373,"Abstract:  A method of estimating a cost of operating a heating, ventilation, and/or air conditioning (HVAC) system includes receiving HVAC system information, generating at least one of an HVAC system energy consumption estimate and an HVAC system operation cost estimate as a function of the HVAC system information and a thermodynamic model of at least a portion of the HVAC system, and presenting at least one of the HVAC system energy consumption estimate and the HVAC system operation cost estimate."
Controlling transmission intervals in an HVAC system based on operational modes of the HVAC system,https://patents.justia.com/patent/10612809,"Abstract:  An example HVAC system includes an HVAC component, and an HVAC controller configured to selectively control the HVAC component in a first operating mode and a second operating mode. The system also includes a sensor in communication with the HVAC controller. The sensor is configured to detect one or more parameters of the HVAC system and periodically transmit the one or more detected parameters to the HVAC controller. The sensor is also configured to transmit the one or more detected parameters according to a first transmission interval when the HVAC controller is operating in the first operating mode, and to transmit the one or more detected parameters according to a second transmission interval when the HVAC controller is operating in the second operating mode. The first transmission interval is different than the second transmission interval. Example methods of controlling an HVAC system are also disclosed."
HVAC SYSTEM WITH ENERGY SAVING MODES SET USING A SECURITY SYSTEM CONTROL PANEL,https://patents.justia.com/patent/20090266904,"Abstract:  Disclosed is an energy-conserving HVAC system for an occupancy, the system including an HVAC system including HVAC actuators, sensors configured to sense temperature and humidity in zones of the occupancy, and an HVAC controller in communication with the HVAC actuators and the sensors, said HVAC controller being configured to include HVAC modes that specify that each of the HVAC actuators to be actuatable and deactuatable in response to particular HVAC sensor readings in the zones, and a security system configured to provide security, the security system including a security control panel in communication with the HVAC controller, wherein the security system includes security modes that are actuatable via the security control panel, actuation of each of the plurality of security modes resulting in an automatic actuation of the HVAC modes, the automatic actuation occurring without any action beyond the actuation of one of the plurality of security modes."
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,"Abstract:  Systems and methods for HVAC system design and zone group management are disclosed. A floor plan of a building is received, and an HVAC system configuration is selected from among a set of template HVAC configurations. HVAC components are selected from set of template HVAC components to customize the configuration. As components are selected, candidate positions for the HVAC component within the HVAC system configuration are determined and presented to a user to ensure compliance with engineering requirements. The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group. If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration. If one exists, the changes zone is moved to the new zone group. If not, a new zone group is created and the changes zone is moved to the new zone group."
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,"Abstract:  Systems and methods for HVAC system design and zone group management are disclosed. A floor plan of a building is received, and an HVAC system configuration is selected from among a set of template HVAC configurations. HVAC components are selected from set of template HVAC components to customize the configuration. As components are selected, candidate positions for the HVAC component within the HVAC system configuration are determined and presented to a user to ensure compliance with engineering requirements. The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group. If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration. If one exists, the changes]d zone is moved to the new zone group. If not, a new zone group is created and the changes zone is moved to the new zone group."
CONTROLLING AIR TEMPERATURES OF HVAC UNITS,https://patents.justia.com/patent/20130151019,"Abstract:  Systems and methods of stabilizing HVAC systems with multiple HVAC units configured to control return air temperature or discharge air temperature are provided. HVAC units that are controlled by the return air temperature compare the return air temperature to a setpoint that determines whether the HVAC unit's operation increases, decreases, or stays the same. By adjusting the setpoint of an HVAC unit based on certain criteria (e.g., a desired operational effort of an HVAC unit) the system can be stabilized. A temperature setpoint reset (TSPR) system can be included in each HVAC unit that resets the temperature setpoint (TSP) of the HVAC unit so that the HVAC unit operates within a desired operational effort (e.g. compressor speed or valve position). A master feedback loop and optimizer loop may be implemented to further control the behavior of the HVAC system."
PREDICTIVE HVAC SYSTEM CONTROLLING APPARATUS AND METHOD,https://patents.justia.com/patent/20190178520,"Abstract:  A predictive HVAC control apparatus and method, the predictive HVAC control apparatus having an input/output interface connected to a gain amplifier and a thermocouple amplifier, the gain amplifier connected to a first plurality of sensors disposed on an HVAC system, the HVAC system having HVAC system controls, and the temperature amplifier connected to a second plurality of sensors disposed on an HVAC system, a central processing unit connected to the input/output interface, and an HVAC control relay, connected to the input/output interface and the HVAC system controls."
HVAC CONTROLLER WITH INTEGRATED AIRSIDE AND WATERSIDE CONTROL,https://patents.justia.com/patent/20240192647,"Abstract:  A building heating, ventilating, or air conditioning (HVAC) system includes waterside HVAC equipment configured to generate a heated or chilled fluid and airside HVAC equipment configured to use the heated or chilled fluid to heat or cool a supply airflow provided to a building. A controller for the HVAC system includes one or more processing circuits configured to perform an integrated airside/waterside control process to determine control outputs for both the waterside HVAC equipment and the airside HVAC equipment simultaneously such that the control outputs for the airside HVAC equipment are based on the control outputs for the waterside HVAC equipment and vice versa. The controller is configured to operate the waterside HVAC equipment and the airside HVAC equipment to provide heating or cooling to the building using the control outputs."
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20200004279,"Abstract:  Systems and methods for HVAC system design and zone group management are disclosed. A floor plan of a building is received, and an HVAC system configuration is selected from among a set of template HVAC configurations. HVAC components are selected from set of template HVAC components to customize the configuration. As components are selected, candidate positions for the HVAC component within the HVAC system configuration are determined and presented to a user to ensure compliance with engineering requirements. The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group. If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration. If one exists, the changes]d zone is moved to the new zone group. If not, a new zone group is created and the changes zone is moved to the new zone group."
