Title,Link,Sentence,Head,Tail,Relation
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,A master HVAC schedule for an HVAC controller may be stored on an external server accessible over a computer network.,computer network,server,has part
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,The external server may deliver the basic HVAC schedule to an HVAC controller according to a predetermined schedule.,hvac controller,hvac,use
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,"In some cases, the external server may deliver an updated basic HVAC schedule to the HVAC controller in response to a user initiated change made to the master HVAC schedule or upon restoration of a lost network connection between the HVAC controller and the external server.",master hvac schedule,hvac controller,facet of
SYSTEM AND METHOD OF HVAC HEALTH MONITORING FOR CONNECTED HOMES,https://patents.justia.com/patent/20190293316,"The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; obtaining weather data for a geographical area where the HVAC unit is located; and determining an HVAC capacity available ratio (CAR) in response to the weather data, the HVAC unit characteristics, and the HVAC data.",hvac capacity available ratio,hvac,facet of
"CONTROLLING A HEATING, VENTILATION AND AIR CONDITIONING (HVAC) SYSTEM WITH NETWORKED HVAC ZONE SENSORS",https://patents.justia.com/patent/20190242605,"Disclosed is an HVAC system with networked HVAC zone sensors, and HVAC zone controllers communicating with portable smart devices over personal area networks, wherein the portable smart devices are registered with an HVAC controller and assigned to device groups, each of the HVAC zone controllers is paired with each of the portable smart devices, each of the HVAC zone controllers scans to determine whether, and how many of, the portable smart devices are within communication range, the HVAC controller communicates with each of the HVAC zone controllers to determine the results of the scans, and the HVAC controller controls the HVAC system based on the results accounting for how many of the portable smart devices detected by the HVAC zone controllers are subsumed under one or more of the device groups.",hvac zone controller,hvac system,part of
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,"Apparatuses, systems, and methods for de-energizing an indoor HVAC unit are provided herein.",de-energizing,hvac,facet of
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,The air-gap switch is connected to the indoor HVAC unit and is configured to selectively sever a connection between the signal cables and the indoor HVAC unit.,signal cable,hvac,use
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,The air-gap switch provides an electrical safety measure for servicing and maintaining the indoor HVAC unit.,hvac,indoor,part of
HVAC system and zone control unit,https://patents.justia.com/patent/9459015,"Methods for installing one or more heating, ventilation, and air conditioning (HVAC) units in an HVAC system include the steps of securing inlet and outlet piping assemblies of the HVAC unit to a bracket, coupling a thermal transfer mechanism of the HVAC unit with the inlet piping assembly and the outlet piping assembly, fluidly coupling a water pump with the thermal transfer mechanism, the inlet piping assembly, or the outlet piping assembly, mounting the HVAC unit by mounting the bracket to the HVAC system, and maintaining alignment of the HVAC unit thermal transfer mechanism, the HVAC unit inlet piping assembly, and the HVAC unit outlet piping assembly while mounting the HVAC unit in the HVAC system.",hvac system,"heating, ventilation, and air conditioning",has parts of the class
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,The HVAC case includes a fastener for coupling a first portion of the HVAC case to a second portion of the HVAC case.,coupling,fastener,subclass of
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,A clip of the fastener is included with the first portion of the HVAC case.,hvac,clip,has part
REMOTE CONTROL FOR USE IN ZONED AND NON-ZONED HVAC SYSTEMS,https://patents.justia.com/patent/20090140058,An HVAC remote controller for use in an HVAC system is described.,hvac remote controller,hvac system,use
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"In some instances, control of an HVAC system may be modified based upon predictions of Critical Peak Pricing (CPP) events.",critical peak pricing,hvac,facet of
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"For example, and in an illustrative but non-limiting example, a local HVAC controller may control an HVAC unit in accordance with at least one nominal HVAC control parameter, such as a nominal setpoint.",nominal setpoint,nominal hvac control parameter,subclass of
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"At least one measure related to an environmental condition in or around the building and/or load on the HVAC unit may be observed, and a CPP event of a utility supplying power to the building may be predicted based at least in part on the observed measure(s).",hvac,building,part of
Remote control for use in zoned and non-zoned HVAC systems,https://patents.justia.com/patent/8387892,"In some instances, the HVAC remote controller may include a wireless interface for communicating with one or more HVAC controllers and/or other HVAC devices.",hvac remote controller,hvac controller,subclass of
DATA-DRIVEN HVAC OPTIMIZATION,https://patents.justia.com/patent/20150378373,The system may further select optimized HVAC setpoints such that the predicted cost is less than or equal to a user defined cost constraint and minimize deviation from user-preferred HVAC setpoints.,cost constraint,hvac,facet of
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,"For monitoring an HVAC system (1), HVAC data reporting messages are received and stored in a cloud-based computer system (4).",cloud-based,computer system,subclass of
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,A diagnosis message which includes a remote diagnosis is transmitted to a diagnosis processing system for the particular HVAC device.,remote diagnosis,diagnosis,subclass of
System and Method For Charging HVAC System,https://patents.justia.com/patent/20110219790,A method of charging an HVAC system by adjusting a mass of refrigerant in the HVAC system to approach a target minimum liquid line temperature.,refrigerant,hvac,use
NFC ENABLED HVAC FIELD DEVICE AND AN HVAC SYSTEM,https://patents.justia.com/patent/20240102689,The invention relates to an HVAC field device comprising a plurality of HVAC device blocks.,hvac device blocks,hvac field device,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The invention involves the automated testing of HVAC units using an energy management system.,hvac,energy management system,part of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations.,hvac unit,hvac test,use
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,"If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed.",hvac testing,hvac,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested.,efficiency,hvac,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics.,preventative maintenance,diagnostics,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,"These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly).",quarterly,recurring schedule,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform.,energy management,cloud,part of
METHOD AND APPARATUS FOR CONTROLLING AN HVAC SYSTEM,https://patents.justia.com/patent/20160363336,"A method and controller for Heating Ventilation or Air-Conditioning (HVAC), the controller having a processing unit and a storage device, the controller comprising: a mapping obtaining module for obtaining a mapping between a pair of a state of an HVAC unit and an action of the HVAC unit and between a measurement; an action determination component for determining an action to be taken by the HVAC unit in accordance with a current state of the HVAC unit; a measurement determination component for obtaining from the mapping a synthesized measurement that when transmitted to the HVAC unit is adapted to cause the HVAC unit to perform the action; and an HVAC communication module for transmitting the synthesized measurement to the HVAC unit.",controller,heating ventilation or air-conditioning,use
Controlling Transmission Intervals in an HVAC System Based on Operational Modes of the HVAC System,https://patents.justia.com/patent/20190376716,The system also includes a sensor in communication with the HVAC controller.,hvac controller,sensor,has part
Controlling Transmission Intervals in an HVAC System Based on Operational Modes of the HVAC System,https://patents.justia.com/patent/20190376716,The sensor is configured to detect one or more parameters of the HVAC system and periodically transmit the one or more detected parameters to the HVAC controller.,hvac controller,hvac system,part of
HVAC CONTROLLER AND METHOD FOR OPERATING AN HVAC SYSTEM BASED ON A DIFFERENCE IN TEMPERATURE BETWEEN RETURN AIR AND SUPPLY AIR AND AN HVAC SYSTEM EMPLOYING THE CONTROLLER OR METHOD,https://patents.justia.com/patent/20150204567,"In one embodiment, the HVAC controller includes: (1) an interface configured to receive a thermostat call and (2) a processor configured to initiate operation of the HVAC system in response to the thermostat call and control operation thereof based on a temperature difference across a conditioning unit of the HVAC system.",hvac controller,thermostat,has part
HVAC SYSTEM WITH MULTIPLE EQUIPMENT INTERFACE MODULES,https://patents.justia.com/patent/20140041846,Each of the EIMs may include a wired and/or wireless interface for communication to the HVAC controller.,wireless,interface,subclass of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,Systems and methods for HVAC system design and zone group management are disclosed.,zone group management,hvac system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group.,hvac zone group,hvac system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,"If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration.",zone group,hvac system,subclass of
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,"If one exists, the changes]d zone is moved to the new zone group.",zone group,zone,has parts of the class
CONTROLLING AIR TEMPERATURES OF HVAC UNITS,https://patents.justia.com/patent/20130151019,A master feedback loop and optimizer loop may be implemented to further control the behavior of the HVAC system.,master feedback loop,optimizer loop,subclass of
PREDICTIVE HVAC SYSTEM CONTROLLING APPARATUS AND METHOD,https://patents.justia.com/patent/20190178520,"A predictive HVAC control apparatus and method, the predictive HVAC control apparatus having an input/output interface connected to a gain amplifier and a thermocouple amplifier, the gain amplifier connected to a first plurality of sensors disposed on an HVAC system, the HVAC system having HVAC system controls, and the temperature amplifier connected to a second plurality of sensors disposed on an HVAC system, a central processing unit connected to the input/output interface, and an HVAC control relay, connected to the input/output interface and the HVAC system controls.",thermocouple amplifier,gain amplifier,has part
HVAC CONTROLLER WITH USER-FRIENDLY INSTALLATION  FEATURES FACILITATING BOTH DO-IT-YOURSELF AND PROFESSIONAL INSTALLATION SCENARIOS,https://patents.justia.com/patent/20140091153,A thermostat includes a processing system configured to control an HVAC system.,hvac system,thermostat,has part
HVAC SYSTEM INCLUDING AN IONIZER,https://patents.justia.com/patent/20200247219,The evaporator is configured to cool air.,cool air,evaporator,subclass of
HVAC SYSTEM INCLUDING AN IONIZER,https://patents.justia.com/patent/20200247219,"When the condition is present, the HVAC controller activates the ionizer to ionize the air from the evaporator prior to the air being disbursed into the environment.",ionizer,ionize,use
UTILITY CONTROL OF HVAC WITH INTEGRAL ELECTRICAL STORAGE UNIT,https://patents.justia.com/patent/20140214213,"One aspect is an HVAC grid controller that may communicate with local HVAC controllers, wherein the local HVAC controllers control the operation of local HVAC components including an integral electrical storage unit.",hvac grid controller,hvac controllers,subclass of
UTILITY CONTROL OF HVAC WITH INTEGRAL ELECTRICAL STORAGE UNIT,https://patents.justia.com/patent/20140214213,"By using an electrical storage unit to power HVAC components, a utility power provider may better manage load on its electrical grid, and a consumer may avoid peak time-of-use electricity charges.",peak time-of-use,electricity charges,subclass of
Vibration-dampening support for an HVAC unit,https://patents.justia.com/patent/11268709,The vibration-dampening support for an HVAC unit is a pedestal structure that forms a load path that transfers the load of the HVAC equipment to a supporting surface.,pedestal structure,hvac unit,part of
Vibration-dampening support for an HVAC unit,https://patents.justia.com/patent/11268709,The vibration-dampening support for an HVAC unit is an elastic structure.,hvac unit,elastic structure,has part
Vibration-dampening support for an HVAC unit,https://patents.justia.com/patent/11268709,"The vibration-dampening support for an HVAC unit comprises a pedestal plate, a spring housing, a mounting tube, and a compression spring.",compression spring,spring housing,subclass of
"HVAC Unit, A Method of Generating a Network Address for a HVAC Unit and a HVAC Controller Therefor",https://patents.justia.com/patent/20160330072,"An HVAC controller, a method for operating a HVAC unit and a HVAC unit are disclosed herein.",hvac controller,hvac unit,part of
HVAC FLUID CONDITIONING SYSTEM,https://patents.justia.com/patent/20190071331,"According to principles of the present inventive concepts, an HVAC fluid conditioning system comprises an inlet port configured to receive HVAC fluid from an HVAC condensation line.",hvac condensation line,hvac fluid,product or material produced
HVAC FLUID CONDITIONING SYSTEM,https://patents.justia.com/patent/20190071331,A conditioning system treats the HVAC fluid with a chemical or other treatment process to prevent the growth of harmful pollutants within the HVAC condensation line.,condensation line,hvac fluid,subclass of
HVAC FLUID CONDITIONING SYSTEM,https://patents.justia.com/patent/20190071331,A trap system can be provided to trap harmful gases created during the HVAC fluid treatment process.,hvac fluid treatment,hvac,facet of
HVAC SENSOR ASSEMBLY AND METHOD,https://patents.justia.com/patent/20110174889,An HVAC sensor assembly for sensor deployment within an HVAC air passage defined by passage walls is provided.,passage walls,hvac,facet of
"HEATING, VENTILATING AND AIR CONDITIONING HVAC DEVICE BLOCK",https://patents.justia.com/patent/20240167719,"In a first configuration, the base HVAC device block (10) is configured to connect the external electrical interface (18) with the electronic circuit (12) for transmission of data signal(s) and thereby provide HVAC functionality(s) of a first category.",electronic circuit,external electrical interface,has part
HVAC EQUIPMENT HAVING LOCATING SYSTEMS AND METHODS,https://patents.justia.com/patent/20160327293,Systems and methods for locating building equipment in a building management system (BMS) are provided.,building management system,building,facet of
HVAC EQUIPMENT HAVING LOCATING SYSTEMS AND METHODS,https://patents.justia.com/patent/20160327293,The processing circuit automatically determining a location of the HVAC device reporting the location of the HVAC device to the HVAC controller.,hvac controller,hvac device,has part
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,The method for adjusting the temperature set point of a HVAC unit and activating and deactivating the HVAC unit utilizes one sensor to periodically determine the thermostat activity in a controlled environment and a second sensor to measure the temperature of a transfer medium output from said HVAC system.,thermostat,hvac unit,part of
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,"A microprocessor receives, stores and processes information from the two sensors and is connected to and controls the HVAC unit.",microprocessor,sensors,has part
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,The first sensor records thermostat activity for the controlled environment at set intervals over a defined time period and they are stored in the microprocessor.,thermostat,sensor,has part
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,"An actual HVAC demand model for said controlled environment is created by the microprocessor, based on said recorded thermostat activity.",thermostat,hvac,use
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,The actual HVAC demand model is compared to an ideal HVAC demand model and a temperature change factor is calculated.,ideal hvac demand model,hvac demand model,instance of
Method for controlling HVAC units,https://patents.justia.com/patent/6402043,"Then, the optimum temperature set point for said HVAC unit is determined, based on said temperature change factor.",temperature change factor,hvac,facet of
HVAC SYSTEM INCLUDING ENERGY ANALYTICS ENGINE,https://patents.justia.com/patent/20190024928,"A heating, ventilation, and air conditioning (HVAC) energy management control system includes an HVAC system configured to deliver at least one of heated air and cooled air to a targeted area; and a computing server including an HVAC energy analytics engine in signal communication with the HVAC system.","heating, ventilation, and air conditioning",energy management control system,subclass of
HVAC SYSTEM INCLUDING ENERGY ANALYTICS ENGINE,https://patents.justia.com/patent/20190024928,The HVAC energy analytics engine is configured to actively learn historical data of the HVAC system based on at least one of the heated air and the cooled air produced over a time period.,hvac energy analytics engine,hvac system,facet of
VERSATILE HVAC CONTROLLER,https://patents.justia.com/patent/20140324229,"The HVAC Controller may include a housing for housing a controller, a wired control port, and a wireless interface for optionally wirelessly connecting the HVAC controller to HVAC components and for wirelessly providing control signals generated by the controller to the HVAC components.",hvac controller,controller,subclass of
VERSATILE HVAC CONTROLLER,https://patents.justia.com/patent/20140324229,"The controller may be programmable to include control configurations comprising controlling via only the wired control port, via only the wireless interface, or via the wired control port and the wireless interface.",wireless interface,programmable,subclass of
"SYSTEMS AND METHODS FOR CONTROLLING OPERATION OF A HEATING,VENTILATION, AND AIR CONDITIONING (HVAC) SYSTEM",https://patents.justia.com/patent/20250093064,The HVAC system comprises a thermostat and a first HVAC unit coupled via a power line.,thermostat,hvac,part of
SYSTEMS AND METHODS FOR PROVIDING CUSTOM APPLICATIONS FOR HVAC SYSTEMS,https://patents.justia.com/patent/20180135877,"A heating, ventilating, and air conditioning (HVAC) system is provided.","heating, ventilating, and air conditioning",hvac,subclass of
Method for designing a HVAC air handling assembly for a climate control system,https://patents.justia.com/patent/6487525,"The method also includes the step of generating a HVAC design using the HVAC architecture and the HVAC component part, determining if the HVAC design meets a predetermined criteria, and regenerating the HVAC design if the predetermined criteria is not met.",hvac architecture,hvac,facet of
COORDINATED CONTROL OF HVAC SYSTEM USING AGGREGATED SYSTEM DEMAND,https://patents.justia.com/patent/20160349772,A control system for an HVAC system having a plurality of HVAC components operably associated with one or more terminal units is provided.,terminal unit,hvac,use
DRAIN SPOUT FOR DRAIN OF HVAC SYSTEM,https://patents.justia.com/patent/20210190409,"A heating, ventilation, and/or air conditioning (HVAC) unit includes a drain pan configured to collect condensate generated by the HVAC unit.",drain pan,"heating, ventilation, and/or air conditioning (hvac) unit",part of
Method of Auto Association of HVAC Energy with Control Signal for Self Diagnostics of the HVAC System,https://patents.justia.com/patent/20210215367,"A system and method are described for self-diagnosing heating, ventilation and air conditioning (HVAC) systems.","heating, ventilation and air conditioning",hvac,subclass of
Method of Auto Association of HVAC Energy with Control Signal for Self Diagnostics of the HVAC System,https://patents.justia.com/patent/20210215367,The system and method correlate an HVAC control mode of a particular HVAC unit with an energy usage for the particular HVAC unit in order to match normal patterns in energy usage with the HVAC control mode.,hvac control mode,hvac unit,facet of
Method of Auto Association of HVAC Energy with Control Signal for Self Diagnostics of the HVAC System,https://patents.justia.com/patent/20210215367,This correlation allows the system and method to identify potential problems with the particular HVAC unit based on deviations from normal patterns.,hvac unit,system,part of
VEHICLE HVAC SYSTEM,https://patents.justia.com/patent/20100087134,An HVAC system for a vehicle is disclosed.,hvac,vehicle,part of
"A METHOD OF COMMUNICATION BETWEEN A REMOTE COMPUTER AND HEATING, VENTILATION AND AIR CONDITIONING HVAC DEVICES",https://patents.justia.com/patent/20250085008,"A method of communication between a remote computer and Heating, Ventilation and Air Conditioning HVAC devices includes communicatively connecting the HVAC devices to a communication bus via a bus communication interface of each HVAC device, selecting one of the HVAC devices having a remote communication interface as a gateway device, communicatively connecting the remote computer to the remote communication interface of the gateway device, identifying, by the HVAC gateway device, one or more of the HVAC devices connected to the communication bus by retrieving respective identification data of the HVAC devices via the bus communication interface, retrieving, by the gateway device, one or more device profiles corresponding to the identification data of the one or more identified HVAC devices, and enabling, by the gateway device using the retrieved one or more device profiles, data communication between the one or more identified HVAC devices and the remote computer.",bus communication interface,communication bus,facet of
HVAC Vent Screen Assembly,https://patents.justia.com/patent/20200370785,A HVAC vent screen assembly for inhibiting insects from passing through an HVAC vent includes a screen that is positionable over an HVAC vent in a building.,hvac vent,hvac vent screen,has part
HVAC Vent Screen Assembly,https://patents.justia.com/patent/20200370785,In this way the screen inhibits insects from entering or exiting the HVAC vent.,vent,hvac,part of
HVAC Vent Screen Assembly,https://patents.justia.com/patent/20200370785,The screen is comprised of a fluid permeable material to pass air therethrough.,fluid,permeable material,subclass of
HVAC Vent Screen Assembly,https://patents.justia.com/patent/20200370785,A plurality of magnets is provided and each of the magnets is coupled to the screen.,coupled,magnet,has part
HVAC control system for an automobile,https://patents.justia.com/patent/6304803,Whether the supplied control information is used by the rear HVAC control system is determined by the rear manual switch.,manual switch,hvac control system,part of
Automatic HVAC fan operation during warm-up stage,https://patents.justia.com/patent/8181475,The user sets the heating/cooling temperature of the HVAC system to maximum and then sets the HVAC system to an automatic mode.,heating/cooling temperature,hvac system,facet of
Automatic HVAC fan operation during warm-up stage,https://patents.justia.com/patent/8181475,The occupant detection system determines if there is at least one occupant inside the vehicle.,occupant detection system,occupant,facet of
DETERMINING THE CAUSE OF A FAULT IN AN HVAC SYSTEM,https://patents.justia.com/patent/20200284456,"One device includes a memory, and a processor configured to execute executable instructions stored in the memory to receive operational data associated with an HVAC system, receive control logic associated with a controller of the HVAC system, determine a cause of a fault occurring in the HVAC system based, at least in part, on the operational data associated with the HVAC system and the control logic of the controller of the HVAC system, and provide the cause of the fault occurring in the HVAC system to a user.",memory,processor,used by
SYSTEMS AND METHODS FOR CREATING AND USING COMBINED PREDICTIVE MODELS TO CONTROL HVAC EQUIPMENT,https://patents.justia.com/patent/20180113482,The controller is configured to determine an operating point for the HVAC equipment and to operate the HVAC equipment at the operating point.,operating point,hvac,facet of
SYSTEMS AND METHODS FOR CREATING AND USING COMBINED PREDICTIVE MODELS TO CONTROL HVAC EQUIPMENT,https://patents.justia.com/patent/20180113482,The predictive modeling system includes a plurality of HVAC component models and one or more prediction combiners.,component model,hvac,subclass of
SYSTEMS AND METHODS FOR CREATING AND USING COMBINED PREDICTIVE MODELS TO CONTROL HVAC EQUIPMENT,https://patents.justia.com/patent/20180113482,The HVAC component models are configured to generate a plurality of component model predictions based on the operating point.,hvac component model,component model,subclass of
SYSTEM AND METHOD FOR MANAGING POWER CONSUMPTION OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200386434,The detector interface is configured to provide switching information and capacity of the backup power source to the HVAC controller.,switching information,hvac controller,facet of
HVAC communication bus decoders and corresponding methods,https://patents.justia.com/patent/9377210,"In exemplary embodiments, HVAC communication bus decoders and corresponding methods are disclosed.",bus decoder,hvac communication,use
HVAC communication bus decoders and corresponding methods,https://patents.justia.com/patent/9377210,"In an exemplary embodiment, an HVAC communication bus decoder includes a control circuit having an input for coupling to an HVAC communication bus and one or more relays each having an output for coupling to a legacy HVAC system monitoring device.",hvac communication bus decoder,hvac communication bus,uses
HVAC Temperature Control System,https://patents.justia.com/patent/20200094652,A first heat exchanger is within the HVAC case along a first airflow path defined by the HVAC case directing airflow to a driver side of the vehicle.,first heat exchanger,hvac case,part of
HVAC Temperature Control System,https://patents.justia.com/patent/20200094652,A second heat exchanger is within the HVAC case along a second airflow path defined by the HVAC case directing airflow to a passenger side of the vehicle.,heat exchanger,airflow,uses
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200370777,"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for advanced monitoring of an HVAC system.",computer programs,computer storage medium,location
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200370777,"In some implementations, a voltage measurement across at least two interface terminals of a thermostat that controls an HVAC system of a property is obtained.",thermostat,hvac system,part of
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200370777,The voltage measurements are analyzed.,voltage,measurement,subclass of
ADVANCED MONITORING OF AN HVAC SYSTEM,https://patents.justia.com/patent/20200370777,A likely power cycling activity of a component of the HVAC system is determined based on analyzing the voltage measurements.,hvac,voltage,uses
HVAC CONTROLLER WITH USER ACTIVATED PERFORMANCE TEST,https://patents.justia.com/patent/20130158714,"In some cases, the identified current delta T may be displayed on a display of the HVAC controller for viewing and/or evaluation by the user.",controller,hvac,use
HVAC CONTROLLER WITH USER ACTIVATED PERFORMANCE TEST,https://patents.justia.com/patent/20130158714,"In some cases, a delta T limit may be accepted from the user through the user interface of the HVAC controller.",user interface,hvac controller,facet of
HVAC CONTROLLER WITH USER ACTIVATED PERFORMANCE TEST,https://patents.justia.com/patent/20130158714,"The delta T limit and/or the minimum run time may be based, at least in part, on the current delta T identified by the user activated performance test.",delta t limit,delta t,facet of
"AIRFLOW MANAGING SYSTEM, A METHOD OF MONITORING THE AIRFLOW IN AN HVAC SYSTEM AND A HVAC SYSTEM",https://patents.justia.com/patent/20100298993,"In one embodiment, the airflow managing system includes: (1) an air pressure sensor configured to obtain an air pressure measurement directly from a scroll of an air blower of the HVAC system and (2) a HVAC controller configured to determine an airflow rate for the HVAC system based on the air pressure measurement and corresponding parameters associated with the air blower.",air blower,air pressure sensor,has part
"METHOD AND SYSTEM FOR HVAC SYSTEM DATA MAPPING, CONTROL METHOD OF HVAC SYSTEM AND STORAGE MEDIUM",https://patents.justia.com/patent/20220057098,"A data mapping method, system and control method for a HVAC system.",system and control,hvac,facet of
"METHOD AND SYSTEM FOR HVAC SYSTEM DATA MAPPING, CONTROL METHOD OF HVAC SYSTEM AND STORAGE MEDIUM",https://patents.justia.com/patent/20220057098,"The data mapping method comprises: providing identification characteristics of at least one target object in the HVAC system, and obtaining information at least related to the target object, according to the identification characteristics, from a building automation system associated with the HVAC system to map a physical topology of the HVAC system comprising at least the target object; providing information of at least one target data point of the HVAC system, and obtaining data point data including at least the target data point from the obtained information or from the building automation system, according to the information of at least one target data point of the HVAC system; and associating the obtained data point data with the physical topology of the HVAC system to obtain physical link mapping data of the HVAC system.",physical link mapping,data mapping,subclass of
HVAC BACKPACK FOR MODULAR ANIMAL CRATE,https://patents.justia.com/patent/20250057105,The HVAC is configured to provide a climate-controlled environment within the modular animal crate.,climate-controlled,hvac,subclass of
