Title,Link,Sentence,Head,Tail,Relation
SYSTEM OF HVAC FAULT DETECTION USING THERMOSTAT DATA,https://patents.justia.com/patent/20190293313,"A method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided.","heating, ventilation, and air conditioning",HVAC,subclass of
PROGNOSTICS SYSTEM AND METHOD FOR HVAC SYSTEM COMFORT FAILURE FORECASTING,https://patents.justia.com/patent/20190293318,"According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided.","heating, ventilation, and air conditioning",HVAC,subclass of
PROGNOSTICS SYSTEM AND METHOD FOR HVAC SYSTEM COMFORT FAILURE FORECASTING,https://patents.justia.com/patent/20190293318,"The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; determining an HVAC comfort performance index (CPI) in response to the HVAC data and the HVAC unit characteristic; determining an HVAC CPI degradation trend line in response to the HVAC comfort performance index; obtaining weather data for a geographical area where the HVAC system is located, the weather data including a predicted outside air temperature (OAT); and determining a point in time where the predicted OAT is equivalent to the HVAC CPI degradation trend line.",HVAC analytics system,HVAC,facet of
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,A master HVAC schedule for an HVAC controller may be stored on an external server accessible over a computer network.,computer network,server,has part
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,The external server may deliver the basic HVAC schedule to an HVAC controller according to a predetermined schedule.,HVAC controller,HVAC,use
HVAC CONTROLLER HAVING A NETWORK-BASED SCHEDULING FEATURE,https://patents.justia.com/patent/20140031992,"In some cases, the external server may deliver an updated basic HVAC schedule to the HVAC controller in response to a user initiated change made to the master HVAC schedule or upon restoration of a lost network connection between the HVAC controller and the external server.",master HVAC schedule,HVAC controller,facet of
SYSTEM AND METHOD OF HVAC HEALTH MONITORING FOR CONNECTED HOMES,https://patents.justia.com/patent/20190293316,"According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided.","heating, ventilation, and air conditioning",HVAC,subclass of
SYSTEM AND METHOD OF HVAC HEALTH MONITORING FOR CONNECTED HOMES,https://patents.justia.com/patent/20190293316,"The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; obtaining weather data for a geographical area where the HVAC unit is located; and determining an HVAC capacity available ratio (CAR) in response to the weather data, the HVAC unit characteristics, and the HVAC data.",HVAC capacity available ratio,HVAC,facet of
HVAC controller having a network-based scheduling feature,https://patents.justia.com/patent/9657957,A master HVAC schedule for an HVAC controller may be stored on an external server accessible over a computer network.,computer network,server,has part
HVAC controller having a network-based scheduling feature,https://patents.justia.com/patent/9657957,The external server may deliver the basic HVAC schedule to an HVAC controller according to a predetermined schedule.,HVAC controller,HVAC,use
HVAC controller having a network-based scheduling feature,https://patents.justia.com/patent/9657957,"In some cases, the external server may deliver an updated basic HVAC schedule to the HVAC controller in response to a user initiated change made to the master HVAC schedule or upon restoration of a lost network connection between the HVAC controller and the external server.",master HVAC schedule,HVAC controller,facet of
"CONTROLLING A HEATING, VENTILATION AND AIR CONDITIONING (HVAC) SYSTEM WITH NETWORKED HVAC ZONE SENSORS",https://patents.justia.com/patent/20190242605,"Disclosed is an HVAC system with networked HVAC zone sensors, and HVAC zone controllers communicating with portable smart devices over personal area networks, wherein the portable smart devices are registered with an HVAC controller and assigned to device groups, each of the HVAC zone controllers is paired with each of the portable smart devices, each of the HVAC zone controllers scans to determine whether, and how many of, the portable smart devices are within communication range, the HVAC controller communicates with each of the HVAC zone controllers to determine the results of the scans, and the HVAC controller controls the HVAC system based on the results accounting for how many of the portable smart devices detected by the HVAC zone controllers are subsumed under one or more of the device groups.",HVAC zone controller,HVAC system,part of
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,"Apparatuses, systems, and methods for de-energizing an indoor HVAC unit are provided herein.",de-energizing,HVAC,facet of
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,The air-gap switch is connected to the indoor HVAC unit and is configured to selectively sever a connection between the signal cables and the indoor HVAC unit.,signal cable,HVAC,use
Apparatus and process for amateur HVAC installation,https://patents.justia.com/patent/11982476,The air-gap switch provides an electrical safety measure for servicing and maintaining the indoor HVAC unit.,HVAC,indoor,part of
HVAC system and zone control unit,https://patents.justia.com/patent/9459015,"Methods for installing one or more heating, ventilation, and air conditioning (HVAC) units in an HVAC system include the steps of securing inlet and outlet piping assemblies of the HVAC unit to a bracket, coupling a thermal transfer mechanism of the HVAC unit with the inlet piping assembly and the outlet piping assembly, fluidly coupling a water pump with the thermal transfer mechanism, the inlet piping assembly, or the outlet piping assembly, mounting the HVAC unit by mounting the bracket to the HVAC system, and maintaining alignment of the HVAC unit thermal transfer mechanism, the HVAC unit inlet piping assembly, and the HVAC unit outlet piping assembly while mounting the HVAC unit in the HVAC system.",HVAC system,"heating, ventilation, and air conditioning",has parts of the class
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,"A heating, ventilation, and air conditioning (HVAC) case for an HVAC assembly.","heating, ventilation, and air conditioning",HVAC,subclass of
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,The HVAC case includes a fastener for coupling a first portion of the HVAC case to a second portion of the HVAC case.,coupling,fastener,subclass of
HVAC CASE FASTENER,https://patents.justia.com/patent/20180222280,A clip of the fastener is included with the first portion of the HVAC case.,HVAC,clip,has part
REMOTE CONTROL FOR USE IN ZONED AND NON-ZONED HVAC SYSTEMS,https://patents.justia.com/patent/20090140058,An HVAC remote controller for use in an HVAC system is described.,HVAC remote controller,HVAC system,use
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"In some instances, control of an HVAC system may be modified based upon predictions of Critical Peak Pricing (CPP) events.",Critical Peak Pricing,HVAC,facet of
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"For example, and in an illustrative but non-limiting example, a local HVAC controller may control an HVAC unit in accordance with at least one nominal HVAC control parameter, such as a nominal setpoint.",nominal setpoint,nominal HVAC control parameter,subclass of
HVAC CONTROL WITH UTILITY TIME OF DAY PRICING SUPPORT,https://patents.justia.com/patent/20110184565,"At least one measure related to an environmental condition in or around the building and/or load on the HVAC unit may be observed, and a CPP event of a utility supplying power to the building may be predicted based at least in part on the observed measure(s).",HVAC,building,part of
Remote control for use in zoned and non-zoned HVAC systems,https://patents.justia.com/patent/8387892,An HVAC remote controller for use in an HVAC system is described.,HVAC remote controller,HVAC system,use
Remote control for use in zoned and non-zoned HVAC systems,https://patents.justia.com/patent/8387892,"In some instances, the HVAC remote controller may include a wireless interface for communicating with one or more HVAC controllers and/or other HVAC devices.",HVAC remote controller,HVAC controller,subclass of
System and method of HVAC health monitoring for connected homes,https://patents.justia.com/patent/10935271,"According to one embodiment, a method of operating a heating, ventilation, and air conditioning (HVAC) analytics system is provided.","heating, ventilation, and air conditioning",HVAC,subclass of
System and method of HVAC health monitoring for connected homes,https://patents.justia.com/patent/10935271,"The method comprising: obtaining HVAC data for an HVAC unit in electronic communication with the HVAC analytics system; obtaining an HVAC unit characteristic of the HVAC unit; obtaining weather data for a geographical area where the HVAC unit is located; and determining an HVAC capacity available ratio (CAR) in response to the weather data, the HVAC unit characteristics, and the HVAC data.",HVAC capacity available ratio,HVAC,facet of
HVAC control with utility time of day pricing support,https://patents.justia.com/patent/8326466,"In some instances, control of an HVAC system may be modified based upon predictions of Critical Peak Pricing (CPP) events.",Critical Peak Pricing,HVAC,facet of
HVAC control with utility time of day pricing support,https://patents.justia.com/patent/8326466,"For example, and in an illustrative but non-limiting example, a local HVAC controller may control an HVAC unit in accordance with at least one nominal HVAC control parameter, such as a nominal setpoint.",nominal setpoint,nominal HVAC control parameter,subclass of
HVAC control with utility time of day pricing support,https://patents.justia.com/patent/8326466,"At least one measure related to an environmental condition in or around the building and/or load on the HVAC unit may be observed, and a CPP event of a utility supplying power to the building may be predicted based at least in part on the observed measure(s).",HVAC,building,part of
DATA-DRIVEN HVAC OPTIMIZATION,https://patents.justia.com/patent/20150378373,The system may further select optimized HVAC setpoints such that the predicted cost is less than or equal to a user defined cost constraint and minimize deviation from user-preferred HVAC setpoints.,cost constraint,HVAC,facet of
HVAC case fastener,https://patents.justia.com/patent/10513164,"A heating, ventilation, and air conditioning (HVAC) case for an HVAC assembly.","heating, ventilation, and air conditioning",HVAC,subclass of
HVAC case fastener,https://patents.justia.com/patent/10513164,The HVAC case includes a fastener for coupling a first portion of the HVAC case to a second portion of the HVAC case.,coupling,fastener,subclass of
HVAC case fastener,https://patents.justia.com/patent/10513164,A clip of the fastener is included with the first portion of the HVAC case.,HVAC,clip,has part
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,"For monitoring an HVAC system (1), HVAC data reporting messages are received and stored in a cloud-based computer system (4).",cloud-based,computer system,subclass of
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,"The cloud-based computer system (4) generates (S73) remote diagnoses for a particular HVAC device, using a plurality of HVAC reporting messages received from a plurality of the HVAC controllers (22) from one or more HVAC systems (1).",HVAC controller,HVAC,use
Method and computer system for monitoring an HVAC system with data from a plurality of HVAC controllers,https://patents.justia.com/patent/11371734,A diagnosis message which includes a remote diagnosis is transmitted to a diagnosis processing system for the particular HVAC device.,remote diagnosis,diagnosis,subclass of
System and Method For Charging HVAC System,https://patents.justia.com/patent/20110219790,A method of charging an HVAC system by adjusting a mass of refrigerant in the HVAC system to approach a target minimum liquid line temperature.,refrigerant,HVAC,use
METHOD AND COMPUTER SYSTEM FOR MONITORING AN HVAC SYSTEM,https://patents.justia.com/patent/20190212022,"For monitoring an HVAC system (1), HVAC data reporting messages are received and stored in a cloud-based computer system (4).",cloud-based,computer system,subclass of
METHOD AND COMPUTER SYSTEM FOR MONITORING AN HVAC SYSTEM,https://patents.justia.com/patent/20190212022,"The cloud-based computer system (4) generates (S73) remote diagnoses for a particular HVAC device, using a plurality of HVAC reporting messages received from a plurality of the HVAC controllers (22) from one or more HVAC systems (1).",HVAC controller,HVAC,use
METHOD AND COMPUTER SYSTEM FOR MONITORING AN HVAC SYSTEM,https://patents.justia.com/patent/20190212022,A diagnosis message which includes a remote diagnosis is transmitted to a diagnosis processing system for the particular HVAC device.,remote diagnosis,diagnosis,subclass of
NFC ENABLED HVAC FIELD DEVICE AND AN HVAC SYSTEM,https://patents.justia.com/patent/20240102689,The invention relates to an HVAC field device comprising a plurality of HVAC device blocks.,HVAC device blocks,HVAC field device,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The invention involves the automated testing of HVAC units using an energy management system.,HVAC,energy management system,part of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations.,HVAC unit,HVAC test,use
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,"If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed.",HVAC testing,HVAC,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested.,efficiency,HVAC,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics.,preventative maintenance,diagnostics,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,"These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly).",quarterly,recurring schedule,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20210131686,A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform.,energy management,cloud,part of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,The invention involves the automated testing of HVAC units using an energy management system.,HVAC,energy management system,part of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations.,HVAC unit,HVAC test,use
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,"If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed.",HVAC testing,HVAC,facet of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested.,efficiency,HVAC,facet of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics.,preventative maintenance,diagnostics,subclass of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,"These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly).",quarterly,recurring schedule,subclass of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/11662114,A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform.,energy management,cloud,part of
METHOD AND APPARATUS FOR CONTROLLING AN HVAC SYSTEM,https://patents.justia.com/patent/20160363336,"A method and controller for Heating Ventilation or Air-Conditioning (HVAC), the controller having a processing unit and a storage device, the controller comprising: a mapping obtaining module for obtaining a mapping between a pair of a state of an HVAC unit and an action of the HVAC unit and between a measurement; an action determination component for determining an action to be taken by the HVAC unit in accordance with a current state of the HVAC unit; a measurement determination component for obtaining from the mapping a synthesized measurement that when transmitted to the HVAC unit is adapted to cause the HVAC unit to perform the action; and an HVAC communication module for transmitting the synthesized measurement to the HVAC unit.",controller,Heating Ventilation or Air-Conditioning,use
Controlling Transmission Intervals in an HVAC System Based on Operational Modes of the HVAC System,https://patents.justia.com/patent/20190376716,The system also includes a sensor in communication with the HVAC controller.,HVAC controller,sensor,has part
Controlling Transmission Intervals in an HVAC System Based on Operational Modes of the HVAC System,https://patents.justia.com/patent/20190376716,The sensor is configured to detect one or more parameters of the HVAC system and periodically transmit the one or more detected parameters to the HVAC controller.,HVAC controller,HVAC system,part of
HVAC CONTROLLER AND METHOD FOR OPERATING AN HVAC SYSTEM BASED ON A DIFFERENCE IN TEMPERATURE BETWEEN RETURN AIR AND SUPPLY AIR AND AN HVAC SYSTEM EMPLOYING THE CONTROLLER OR METHOD,https://patents.justia.com/patent/20150204567,"The disclosure provides an HVAC system, an HVAC controller and a method of operating an HVAC system.",HVAC controller,HVAC system,part of
HVAC CONTROLLER AND METHOD FOR OPERATING AN HVAC SYSTEM BASED ON A DIFFERENCE IN TEMPERATURE BETWEEN RETURN AIR AND SUPPLY AIR AND AN HVAC SYSTEM EMPLOYING THE CONTROLLER OR METHOD,https://patents.justia.com/patent/20150204567,"In one embodiment, the HVAC controller includes: (1) an interface configured to receive a thermostat call and (2) a processor configured to initiate operation of the HVAC system in response to the thermostat call and control operation thereof based on a temperature difference across a conditioning unit of the HVAC system.",HVAC controller,thermostat,has part
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,The invention involves the automated testing of HVAC units using an energy management system.,HVAC,energy management system,part of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations.,HVAC unit,HVAC test,use
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,"If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed.",HVAC testing,HVAC,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested.,efficiency,HVAC,facet of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics.,preventative maintenance,diagnostics,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,"These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly).",quarterly,recurring schedule,subclass of
METHODS AND SYSTEMS FOR AUTOMATED HVAC TESTING,https://patents.justia.com/patent/20230258355,A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform.,energy management,cloud,part of
Data-driven HVAC optimization,https://patents.justia.com/patent/9429961,The system may further select optimized HVAC setpoints such that the predicted cost is less than or equal to a user defined cost constraint and minimize deviation from user-preferred HVAC setpoints.,cost constraint,HVAC,facet of
HVAC SYSTEM WITH MULTIPLE EQUIPMENT INTERFACE MODULES,https://patents.justia.com/patent/20140041846,Each of the EIMs may include a wired and/or wireless interface for communication to the HVAC controller.,wireless,interface,subclass of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,The invention involves the automated testing of HVAC units using an energy management system.,HVAC,energy management system,part of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,The automated HVAC test is performed to understand if one or more HVAC units are operational across one or more locations.,HVAC unit,HVAC test,use
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,"If an HVAC unit is not operational, HVAC testing could be performed to understand which component or stage of the HVAC unit is not working as designed.",HVAC testing,HVAC,facet of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,The automated HVAC test is also used to calculate the efficiency of the HVAC unit(s) being tested.,efficiency,HVAC,facet of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,The various HVAC tests are performed on all HVAC units as a form of preventative maintenance and diagnostics.,preventative maintenance,diagnostics,subclass of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,"These tests can be scheduled on-demand, for a future date and time, or on a recurring schedule (monthly or quarterly).",quarterly,recurring schedule,subclass of
Methods and systems for automated HVAC testing,https://patents.justia.com/patent/10724752,A report is generated for each HVAC test and can be viewed and exported from a cloud-based energy management platform.,energy management,cloud,part of
Controlling transmission intervals in an HVAC system based on operational modes of the HVAC system,https://patents.justia.com/patent/10612809,The system also includes a sensor in communication with the HVAC controller.,HVAC controller,sensor,has part
Controlling transmission intervals in an HVAC system based on operational modes of the HVAC system,https://patents.justia.com/patent/10612809,The sensor is configured to detect one or more parameters of the HVAC system and periodically transmit the one or more detected parameters to the HVAC controller.,HVAC controller,HVAC system,part of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,Systems and methods for HVAC system design and zone group management are disclosed.,zone group management,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group.,HVAC zone group,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20230251676,"If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration.",zone group,HVAC system,subclass of
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,Systems and methods for HVAC system design and zone group management are disclosed.,zone group management,HVAC system,facet of
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group.,HVAC zone group,HVAC system,facet of
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,"If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration.",zone group,HVAC system,subclass of
HVAC system configuration and zone management,https://patents.justia.com/patent/10409305,"If one exists, the changes]d zone is moved to the new zone group.",zone group,zone,has parts of the class
CONTROLLING AIR TEMPERATURES OF HVAC UNITS,https://patents.justia.com/patent/20130151019,A master feedback loop and optimizer loop may be implemented to further control the behavior of the HVAC system.,master feedback loop,optimizer loop,subclass of
PREDICTIVE HVAC SYSTEM CONTROLLING APPARATUS AND METHOD,https://patents.justia.com/patent/20190178520,"A predictive HVAC control apparatus and method, the predictive HVAC control apparatus having an input/output interface connected to a gain amplifier and a thermocouple amplifier, the gain amplifier connected to a first plurality of sensors disposed on an HVAC system, the HVAC system having HVAC system controls, and the temperature amplifier connected to a second plurality of sensors disposed on an HVAC system, a central processing unit connected to the input/output interface, and an HVAC control relay, connected to the input/output interface and the HVAC system controls.",thermocouple amplifier,gain amplifier,has part
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20200004279,Systems and methods for HVAC system design and zone group management are disclosed.,zone group management,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20200004279,The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group.,HVAC zone group,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20200004279,"If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration.",zone group,HVAC system,subclass of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20200004279,"If one exists, the changes]d zone is moved to the new zone group.",zone group,zone,has parts of the class
Method and apparatus for controlling an HVAC system,https://patents.justia.com/patent/10533762,"A method and controller for Heating Ventilation or Air-Conditioning (HVAC), the controller having a processing unit and a storage device, the controller comprising: a mapping obtaining module for obtaining a mapping between a pair of a state of an HVAC unit and an action of the HVAC unit and between a measurement; an action determination component for determining an action to be taken by the HVAC unit in accordance with a current state of the HVAC unit; a measurement determination component for obtaining from the mapping a synthesized measurement that when transmitted to the HVAC unit is adapted to cause the HVAC unit to perform the action; and an HVAC communication module for transmitting the synthesized measurement to the HVAC unit.",controller,Heating Ventilation or Air-Conditioning,use
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20180217621,Systems and methods for HVAC system design and zone group management are disclosed.,zone group management,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20180217621,The floor plan includes a mapping of an HVAC system configuration to an HVAC zone group.,HVAC zone group,HVAC system,facet of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20180217621,"If a change is made to the HVAC system configuration of a zone associated with a zone group, it is determined if another zone group shares the same properties as the changed HVAC configuration.",zone group,HVAC system,subclass of
HVAC SYSTEM CONFIGURATION AND ZONE MANAGEMENT,https://patents.justia.com/patent/20180217621,"If one exists, the changes]d zone is moved to the new zone group.",zone group,zone,has parts of the class
HVAC CONTROLLER WITH USER-FRIENDLY INSTALLATION  FEATURES FACILITATING BOTH DO-IT-YOURSELF AND PROFESSIONAL INSTALLATION SCENARIOS,https://patents.justia.com/patent/20140091153,A thermostat includes a processing system configured to control an HVAC system.,HVAC system,thermostat,has part
HVAC SYSTEM INCLUDING AN IONIZER,https://patents.justia.com/patent/20200247219,"An HVAC system for a vehicle includes an evaporator, an ionizer, and an HVAC controller.",HVAC controller,HVAC,use
HVAC SYSTEM INCLUDING AN IONIZER,https://patents.justia.com/patent/20200247219,The evaporator is configured to cool air.,cool air,evaporator,subclass of
HVAC SYSTEM INCLUDING AN IONIZER,https://patents.justia.com/patent/20200247219,"When the condition is present, the HVAC controller activates the ionizer to ionize the air from the evaporator prior to the air being disbursed into the environment.",ionizer,ionize,use
HVAC controller with user-friendly installation features facilitating both do-it-yourself and professional installation scenarios,https://patents.justia.com/patent/9003816,A thermostat includes a processing system configured to control an HVAC system.,HVAC system,thermostat,has part
UTILITY CONTROL OF HVAC WITH INTEGRAL ELECTRICAL STORAGE UNIT,https://patents.justia.com/patent/20140214213,"One aspect is an HVAC grid controller that may communicate with local HVAC controllers, wherein the local HVAC controllers control the operation of local HVAC components including an integral electrical storage unit.",HVAC grid controller,HVAC controllers,subclass of
UTILITY CONTROL OF HVAC WITH INTEGRAL ELECTRICAL STORAGE UNIT,https://patents.justia.com/patent/20140214213,"By using an electrical storage unit to power HVAC components, a utility power provider may better manage load on its electrical grid, and a consumer may avoid peak time-of-use electricity charges.",peak time-of-use,electricity charges,subclass of
HVAC CONTROLLER WITH USER-FRIENDLY INSTALLATION FEATURES FACILITATING BOTH DO-IT-YOURSELF AND PROFESSIONAL INSTALLATION SCENARIOS,https://patents.justia.com/patent/20130087629,"A thermostat includes a housing, a user interface, and a processing system configured to control an HVAC system using setpoint temperature values.",HVAC system,thermostat,has part
HVAC controller and method for operating an HVAC system based on a difference in temperature between return air and supply air and an HVAC system employing the controller or method,https://patents.justia.com/patent/9625169,"The disclosure provides an HVAC system, an HVAC controller and a method of operating an HVAC system.",HVAC controller,HVAC system,part of
